ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Polr2i,0.540147136,8.499308325,,0.024117197,0.558532351,
Sema3d,0.558594616,8.482011684,,0.024225233,0.559621182,
Pja2,0.515476414,8.630828865,,0.025106822,0.575432051,
Atp5f1,0.385196194,9.228672257,,0.025212721,0.575432051,
Mrps21,0.449520832,8.793544153,,0.025286132,0.575432051,
Pin1,0.482739594,8.581408059,,0.026101465,0.58384521,
Sertad2,0.553971789,8.453489145,,0.026575228,0.588350809,
Ppp1ca,0.391969592,9.101343209,,0.026881439,0.59119827,
Cyp51,0.600730639,8.428084029,,0.027632245,0.599313204,
Matn1,0.641991659,8.535106777,,0.027642513,0.599313204,
Far1,0.49237264,8.664064515,,0.027861558,0.602637606,
Mat2a,0.388264099,9.255067502,,0.028291725,0.610502135,
Tpp1,0.527389734,8.518292281,,0.02875233,0.61066922,
Map1a,0.441601269,9.006200437,,0.029102757,0.612159145,
Prickle1,0.58120006,8.507324398,,0.029446005,0.614369625,
Fkbp4,0.443144369,8.736861261,,0.029653206,0.615270477,
Rbm8a,0.409818707,9.010168889,,0.030505667,0.624438667,
Fdps,0.531359478,8.736124541,,0.030506714,0.624438667,
Hmgn2,0.444220839,8.710935587,,0.031678472,0.624438667,
Rpl35,0.406831882,9.105339335,,0.031976393,0.624438667,
2410002F23Rik,-0.551274519,8.414959588,,0.032249311,0.624438667,
Cox7a2l,0.499611082,8.513502097,,0.032287273,0.624438667,
Ube2g1,0.479759295,8.579394414,,0.03371356,0.624438667,
Scarb2,0.466377359,8.701350696,,0.034443745,0.624438667,
Ntrk2,0.538489925,8.451304264,,0.03455873,0.624438667,
Pcsk1n,0.333950496,9.908335011,,0.034804947,0.624438667,
Bptf,0.526724523,8.411635577,,0.035062157,0.624438667,
Suclg1,-0.47569161,8.554280548,,0.035229973,0.624438667,
Psmb7,0.402411179,8.85386202,,0.035308698,0.624438667,
Snrpg,-0.380394439,9.126895464,,0.035440662,0.624438667,
Eef2,0.33587072,9.594585492,,0.036004998,0.624438667,
