tsne.TSNE.1,tsne.TSNE.2
-11.45106349,5.134284258
-13.01814885,-8.574797487
33.64716308,-10.81994541
-9.466231134,-15.03176422
-15.11870263,-29.49039746
-2.159521788,-52.33994768
-15.95242535,-30.53136866
35.46502879,-5.740401425
-13.97757919,27.77473694
-1.082374497,-51.47681452
-19.7167074,-29.9356894
-15.63654595,12.13072147
-26.48984057,21.08656116
-4.538818968,-6.659822147
9.396021467,-37.29208317
8.941915665,42.95175709
-3.142547643,17.04275285
-45.58950658,0.398479201
34.25647367,-11.95448156
21.53681525,24.47571838
1.671587827,13.84997842
-28.45108611,-5.147424941
-14.84871507,-31.21216218
-15.96410644,-31.74401975
14.66570498,-8.339069857
-7.165999063,11.89590075
-15.38569471,-23.1706254
-8.930652415,-14.84317907
12.80517519,-25.44616971
-11.43218687,22.05966242
-13.45141109,5.909327071
-27.56640615,0.613061587
-23.6064722,-0.937712084
-25.81684468,-1.212654646
2.991721151,15.83680438
-18.68895775,20.50356123
16.05472656,-8.612820961
-3.650964773,10.4176501
45.70095171,9.738710582
5.71001094,-43.88887224
-7.190390624,16.50920139
-7.172448907,10.29527159
1.277177218,2.810603659
-13.59495647,-19.87807315
13.7585966,-4.185098119
0.091244308,-2.056194606
-20.97310457,-5.412120158
28.20907207,14.09415102
0.772280515,12.3939136
-8.098443202,-21.34450568
-8.412366057,5.025577669
16.1095932,36.37144068
-18.54550747,16.66662275
-27.9263936,3.077594811
-11.89759218,-16.88544554
-22.97390984,-11.89958303
-20.11053708,-1.659579509
-7.89106845,4.961834813
-23.79126977,-9.267369926
-0.084087706,-2.503233062
-14.38978153,21.98232877
-13.90575677,-31.8285563
33.77686253,0.875568789
26.530448,16.57028685
8.979301807,-10.04917187
23.66089543,5.815735501
10.10782241,-39.81536546
-12.85520146,-24.55017102
-16.12259432,-9.111258006
-18.31859039,-15.33490347
-23.68435744,14.39955582
3.109696772,4.039356573
-19.48697824,-22.14345198
10.08589569,10.04852289
-5.833363981,30.65589826
30.78488674,-18.57082348
-0.271387703,34.03278417
10.47531469,-6.977196791
-13.78747725,22.34580598
-6.816208471,31.50974864
-8.427688535,-28.78794246
-11.26832481,-12.27147186
-22.1279403,-9.700634572
-46.49153117,-4.043903098
-16.9857241,-26.07659629
-9.074274773,21.70303378
4.00199478,-16.49997557
-21.4455511,-13.76853009
-4.483929261,21.47619785
-18.05696184,-15.80904051
36.07013984,-2.238162258
-12.48610562,30.19756622
22.382852,20.74025391
-45.03978336,-2.98302387
21.82875501,8.700417226
-16.64746959,-33.08587102
30.94359725,-3.772881935
-29.11666392,2.225710636
46.92747155,8.655550925
-7.12485752,-17.37414816
39.30227078,2.27044377
-11.33456161,-9.983117592
11.89405645,-24.70603239
33.57658367,-10.83099651
25.26530444,24.90082419
-23.47271217,-13.13570398
-8.916130254,-19.93053703
39.84763126,1.596070649
32.2149376,-5.573462924
-15.1358721,17.76903929
-13.52485254,17.1771806
-14.84421255,17.21504411
46.95723801,7.744588171
13.7130107,-34.09879665
-24.10294342,-12.45269794
-12.01820785,18.32299656
-1.731007407,33.29074806
-42.78053205,-0.327717586
24.60538695,14.03624004
-14.9736281,22.30974912
-20.2488271,-13.93907014
25.50372841,15.28317999
1.138798791,-23.79035385
9.62962717,-36.994561
-15.01435934,-30.31861407
4.602406604,28.34552462
-4.973554919,29.87375793
-19.09893393,15.97677959
8.819717231,-7.658108756
-18.57638598,-18.77489396
-20.8277131,19.89100989
23.15775382,15.90346774
-14.09923818,-34.18818117
-19.02261784,-10.39552529
-5.823790483,33.64578291
-4.020670139,-4.415490166
6.318636753,21.43578778
20.77844483,20.82127714
2.11485603,16.01294624
-15.12083543,27.05023269
26.23976672,25.20097431
-16.53387508,-29.29499556
