ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Sh3glb2,0.201495192,8.673182139,,0.101495449,0.585644683,
Slc38a10,0.232657147,8.485306326,,0.10162505,0.586085651,
Qars,0.245602441,8.424602143,,0.10182817,0.586119323,
Rps24,0.138364278,9.282607908,,0.1018344,0.586119323,
Cog7,-0.235893334,8.455068694,,0.101841951,0.586119323,
Smc6,0.217195877,8.535063714,,0.101889468,0.586119323,
Zfp638,0.209149613,8.604103184,,0.101896799,0.586119323,
Ube2s,0.184061898,8.808484126,,0.102123848,0.587118898,
Tsc22d4,-0.094846221,10.28902489,,0.102507153,0.588680379,
Snrpa,-0.227567538,8.519384489,,0.102555696,0.588680379,
Ptgr2,-0.22826064,8.517996435,,0.102555696,0.588680379,
Tubb2b,0.252268373,8.40096425,,0.102662882,0.588763556,
Ino80e,0.251410505,8.401713719,,0.102971048,0.588763556,
Pgam1,0.172251449,8.883916635,,0.103068118,0.588861444,
Stk16,-0.222745942,8.517497982,,0.103780166,0.592622386,
Dek,0.207614393,8.624577162,,0.104200358,0.594405874,
Abhd17b,0.142617711,9.296656566,,0.104649465,0.596604581,
Chchd3,0.22733362,8.477994209,,0.10512713,0.596604581,
Rpl38,-0.107633604,9.700269008,,0.105365771,0.597651137,
Slc24a2,-0.168747595,8.942428353,,0.105529555,0.598272234,
S100a13,0.167423928,9.027576476,,0.105864699,0.598411948,
Pfdn6,-0.178504354,8.746478083,,0.106355221,0.598411948,
Ralgds,-0.145383722,9.151331235,,0.106495011,0.598411948,
Ddx54,-0.241930946,8.446009236,,0.106562867,0.598411948,
Csnk1a1,-0.136799177,9.278839095,,0.106578694,0.598411948,
Rps27rt,-0.156721544,9.079219567,,0.10659226,0.598411948,
Srpr,0.221154724,8.491841288,,0.106701523,0.598411948,
Nudt18,-0.233703532,8.41557504,,0.10690988,0.599010571,
Tpt1,0.111975904,9.696895351,,0.107278205,0.600043577,
Rasa3,0.226783215,8.503624394,,0.10733877,0.600043577,
Usp9x,-0.218529357,8.512274272,,0.107550513,0.600043577,
43161,0.189012054,8.743949368,,0.107765532,0.600043577,
Gnb1,-0.175899165,9.300304366,,0.107943335,0.600043577,
Ebna1bp2,-0.230606183,8.491286155,,0.108188056,0.600043577,
Ptprd,0.143200592,9.511636812,,0.108297049,0.600043577,
Coq2,0.220337727,8.513030604,,0.108347885,0.600043577,
Atg4d,0.247034008,8.40311099,,0.109210759,0.602781653,
Arid4b,0.192484159,8.746857153,,0.10923395,0.602781653,
Wdr18,0.238586636,8.432769483,,0.109324484,0.602781653,
Bmyc,-0.197615623,8.664888077,,0.109333139,0.602781653,
Psat1,-0.113680475,9.837769696,,0.109437231,0.603053861,
